#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
193,"Andrés Figueroa, Gro.                                                                                                                                 ","Las Garzas, Gro.                                  ",Balsas,Guerrero,382.61,133.029,377,102.5,374.23,90.46,88
192,"Manuel Ávila Camacho, Pue.                                                                                                                            ","Valsequillo o Balcón del Diablo, Pue.             ",Balsas,Puebla,2062,391.489,2059.02,300.654,2055.67,224.582,75
191,"Vicente Aguirre, Hgo.                                                                                                                                 ","Las Golondrinas, Hgo.                             ",Aguas del Valle de México,Hidalgo,1855.5,19.685,1854.9,17.799,1853.1,7.96,45
190,"Requena, Hgo.                                                                                                                                         ","Requena, Hgo.                                     ",Aguas del Valle de México,Hidalgo,2110.3,61.519,2109,51.56,2108.93,52.217,101
189,"Javier Rojo Gómez, Hgo.                                                                                                                               ","La Peña, Hgo.                                     ",Aguas del Valle de México,Hidalgo,1977.84,43.317,1976.84,39.99,1971.16,37.176,93
188,"La Concepción, Méx.                                                                                                                                   ","La Concepción, Méx.                               ",Aguas del Valle de México,México,2352.54,12.599,2352.1,12.111,2350.06,10.076,83
187,"Laguna de Tuxpan, Gro.                                                                                                                                ","Laguna de Tuxpan, Gro.                            ",Balsas,Guerrero,743.35,19.503,742.84,17.647,740.86,10.995,62
186,"El Gallo, Gro.                                                                                                                                        ","El Gallo, Gro.                                    ",Balsas,Guerrero,368,545.966,362.78,400.039,362.48,433.434,108
185,"San José Atlanga, Tlax.                                                                                                                               ","Atlanga,Tlax.                                     ",Balsas,Tlaxcala,2486.87,47.97,2486.4,42.63,2484.12,30.46,71
184,"Endhó, Hgo.                                                                                                                                           ","Endhó, Hgo.                                       ",Aguas del Valle de México,Hidalgo,2020,208.65,2018,182.9,2015.77,154.079,84
183,"Taxhimay, Méx.                                                                                                                                        ","Taxhimay, Méx.                                    ",Aguas del Valle de México,México,2216.1,47.386,2214.1,39.914,2207.96,42.593,107
182,"Derivadora Las Blancas, Tamps.                                                                                                                        ","Las Blancas, Tamps.                               ",Río Bravo,Tamaulipas,91.8,133.432,89.92,83.784,85.76,33.015,39
181,"La Fragua, Coah.                                                                                                                                      ","La Fragua, Coah                                   ",Río Bravo,Coahuila de Zaragoza,303.96,85.38,300.3,47.295,300.27,45.29,96
180,"El Centenario, Coah.                                                                                                                                  ","El Centenario, Coah.                              ",Río Bravo,Coahuila de Zaragoza,336.38,25.711,336.15,24.589,334.44,17.76,72
179,"El Rejón, Chih.                                                                                                                                       ","El Rejón, Chih.                                   ",Río Bravo,Chihuahua,1478.32,7.755,1477,6.528,1466.61,1.175,18
178,"Marte Rodolfo Gómez, Tamps.                                                                                                                           ","El Azúcar, Tamps.                                 ",Río Bravo,Tamaulipas,83,2208.66,76.3,781.7,75.56,713.717,91
