#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
1,"El Rodeo, Mor.                                                                                                                                        ","El Rodeo, Mor.                                    ",Balsas,Morelos,1166.5,33.137,1164.2,26.984,1156.12,10.05,37
25,"Ángel Albino Corzo, Chis.                                                                                                                             ","Peñitas, Chis.                                    ",Frontera Sur,Chiapas,95.5,578.63,87.4,215.041,86.83,878.67,409
22,"La Calera, Gro.                                                                                                                                       ","La Calera, Gro.                                   ",Balsas,Guerrero,122.62,34.193,118,9.393,116.98,17.52,187
14,"Los Olivos, Mich.                                                                                                                                     ","Los Olivos, Mich.                                 ",Balsas,Michoacán,421,16.271,418,10.262,416.48,18.98,185
2,"Madín, Méx.                                                                                                                                           ","Madín, Méx.                                       ",Aguas del Valle de México,México,2346.04,17.964,2336.29,9.37,2337.6,17.19,183
141,"Ignacio R. Alatorre, Son.                                                                                                                             ","Punta de Agua, Son.                               ",Noroeste,Sonora,102.71,29.69,100,16.16,99.84,27.32,169
116,"La Soledad, Gto.                                                                                                                                      ","La Soledad, Gto.                                  ",Lerma-Santiago-Pacífico,Guanajuato,2209.15,2.371,2207.75,1.857,2202.9,2.95,159
99,"Manuel Moreno Torres, Chis.                                                                                                                           ","Chicoasén, Chis.                                  ",Frontera Sur,Chiapas,395,1318.6,392.5,205.98,392.3,323.11,157
144,"Abelardo L. Rodríguez, B.C.                                                                                                                           ","Tijuana, B.C.                                     ",Península de Baja California,Baja California,125,121.392,115.85,76.9,119.7,110.36,144
69,"Abelardo Rodríguez Luján, Son.                                                                                                                        ","Hermosillo, Son.                                  ",Noroeste,Sonora,228.4,284.47,226.98,219.52,226.87,299.87,137
143,"Ing. Rodolfo Félix Valdés, Son.                                                                                                                       ","El Molinito, Son.                                 ",Noroeste,Sonora,293.4,222.47,289.36,121.202,290.16,165.21,136
100,"Juan Sabines, Chis.                                                                                                                                   ","El Portillo II o Cuxtepeques, Chis.               ",Frontera Sur,Chiapas,618.27,116.11,612.12,68.15,611.05,91.124,134
47,"Palomas, Zac.                                                                                                                                         ","Palomas, Zac.                                     ",Lerma-Santiago-Pacífico,Zacatecas,1907.48,8.761,1904.25,4.62,1903.89,5.862,127
129,"Lázaro Cárdenas, Son.                                                                                                                                 ","La Angostura, Son.                                ",Noroeste,Sonora,840.15,1116.46,830.7,703.38,831.32,887.5,126
10,"Javier Rojo Gómez, Hgo.                                                                                                                               ","La Peña, Hgo.                                     ",Aguas del Valle de México,Hidalgo,1977.84,43.317,1976.84,39.99,1974.69,48.76,122
142,"Cuauhtémoc, Son.                                                                                                                                      ","Santa Teresa, Son.                                ",Noroeste,Sonora,600.25,66.33,597,41.47,595.19,49.197,119
15,"Pucuato, Mich.                                                                                                                                        ","Pucuato, Mich.                                    ",Balsas,Michoacán,2500,11.534,2499,9.485,2498.89,11.06,117
75,"Emilio López Zamora, B.C.                                                                                                                             ","Ensenada, B.C.                                    ",Península de Baja California,Baja California,25.26,6.342,19.89,2.732,20.03,3.08,113
46,"Urepetiro, Mich.                                                                                                                                      ","Urepetiro, Mich.                                  ",Lerma-Santiago-Pacífico,Michoacán,1745.68,10.923,1745,8.282,1746.44,9.35,113
103,"La Soledad, Pue.                                                                                                                                      ","La Soledad, Pue.                                  ",Golfo Centro,Puebla,805,14.98,804.5,13.9,799.36,15.49,111
26,"Paso de Piedras, Ver.                                                                                                                                 ","Chicayán, Ver.                                    ",Golfo Norte,Veracruz de Ignacio de la Llave,28.28,572.32,23.07,220,23.5,242.05,110
121,"Malpaís, Mich.                                                                                                                                        ","La Ciénega, Mich.                                 ",Lerma-Santiago-Pacífico,Michoacán,1843.56,27.249,1842.53,18.512,1842.09,20.2,109
164,"Sabaneta, Mich.                                                                                                                                       ","Sabaneta, Mich.                                   ",Balsas,Michoacán,2508.95,5.875,2508,5.043,2510.43,5.38,107
3,"Taxhimay, Méx.                                                                                                                                        ","Taxhimay, Méx.                                    ",Aguas del Valle de México,México,2216.1,47.386,2214.1,39.914,2208,42.749,107
34,"San Andrés Tepetitlán, Méx.                                                                                                                           ","Tepetitlán,Méx.                                   ",Lerma-Santiago-Pacífico,México,2594.46,81.029,2592.02,59.966,2591.53,63.43,106
145,"Josefa Ortiz de Domínguez, Sin.                                                                                                                       ","El Sabino, Sin.                                   ",Pacífico Norte,Sinaloa,112.65,685.11,109.5,519.28,110.2,547,105
156,"El Granero, Chih.                                                                                                                                     ","Ing. Luis L. León, Chih.                          ",Río Bravo,Chihuahua,1050.5,824.762,1034.8,284.382,1032.73,290.06,102
133,"Solidaridad, Jal.                                                                                                                                     ","Trojes, Jal.                                      ",Lerma-Santiago-Pacífico,Jalisco,301.11,285.742,292.37,203.388,290.59,207.047,102
29,"Santa Rosa, Zac.                                                                                                                                      ","Santa Rosa, Zac.                                  ",Cuencas Centrales del Norte,Zacatecas,2249.64,14.041,2248.64,10.476,2107.04,10.65,102
