#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
1,"La Concepción, Méx.","La Concepción, Méx.",Aguas del Valle de México,México,2352.54,12.599,2352.1,12.111,2346.7,7.326,60
2,"Madín, Méx.","Madín, Méx.",Aguas del Valle de México,México,2346.04,17.964,2336.29,9.37,2336.19,9.296,99
3,"Javier Rojo Gómez, Hgo.","La Peña, Hgo.",Aguas del Valle de México,Hidalgo,1977.839,43.317,1976.84,39.99,1974.8,34.037,85
4,"Requena, Hgo.","Requena, Hgo.",Aguas del Valle de México,Hidalgo,2110.3,61.519,2109,51.56,2101.61,10.346,20
5,"Endhó, Hgo.","Endhó, Hgo.",Aguas del Valle de México,Hidalgo,2020,208.65,2018,182.9,2014.66,140.751,77
6,"Sierra de Guadalupe, Méx.","Guadalupe,Méx.",Aguas del Valle de México,México,2306.82,64.08,2305.2,56.91,2301.4,42.006,74
7,"Taxhimay, Méx.","Taxhimay, Méx.",Aguas del Valle de México,México,2216.1,47.386,2214.1,39.914,2208.8,21.856,55
8,"Manuel Ávila Camacho, Pue.","Valsequillo o Balcón del Diablo, Pue.",Balsas,Puebla,2062,391.489,2059.02,300.654,2055.39,211.158,70
9,"San José Atlanga, Tlax.","Atlanga,Tlax.",Balsas,Tlaxcala,2486.87,47.97,2486.4,42.63,2485.03,29.07,68
10,"Pucuato, Mich.","Pucuato, Mich.",Balsas,Michoacán,2500,11.534,2499,9.485,2498.97,9.423,99
11,"Vicente Aguirre, Hgo.","Las Golondrinas, Hgo.",Aguas del Valle de México,Hidalgo,1855.5,19.685,1854.9,17.799,1849.78,5.843,33
12,"Yosocuta, Oax.",San Marcos Arteaga,Balsas,Oaxaca,1512.55,57.26,1509.7,47.226,1508.29,42.985,91
13,"Sabaneta, Mich.","Sabaneta, Mich.",Balsas,Michoacán,2508.95,5.875,2508,5.043,2507.98,5.026,100
14,"El Bosque, Mich.","El Bosque, Mich.",Balsas,Michoacán,1743,220.1,1741.4,202.4,1731.69,109.32,54
15,"Agostitlán, Mich.","Mata de Pinos, Mich.",Balsas,Michoacán,2377.84,18.754,2376.6,15.675,2375.2,12.564,80
16,"Valle de Bravo, Méx.","Valle de Bravo, Méx.",Balsas,México,1833,449.42,1830,394.39,1818.94,209.215,53
17,"El Rodeo, Mor.","El Rodeo, Mor.",Balsas,Morelos,1166.5,33.137,1164.2,26.984,1155.17,6.455,24
18,"El Gallo, Gro.","El Gallo, Gro.",Balsas,Guerrero,368,545.966,362.78,400.039,360.67,349.95,87
19,"Valerio Trujano, Gro.","Tepecoacuilco, Gro.",Balsas,Guerrero,842.78,51.727,840,31.014,837.14,16.881,54
20,"Villa Victoria, Méx.","Villa Victoria,Méx.",Balsas,México,2607.5,249.943,2605.5,185.723,2601.04,74.378,40
21,"Andrés Figueroa, Gro.","Las Garzas, Gro.",Balsas,Guerrero,382.61,133.029,377,102.5,374.1,89.92,88
22,"Vicente Guerrero, Gro.","Palos Altos, Gro.",Balsas,Guerrero,430.3,300,425,249.49,419.83,191.63,77
23,"La Calera, Gro.","La Calera, Gro.",Balsas,Guerrero,122.62,34.193,118,9.393,117.88,9.059,96
24,"Laguna de Tuxpan, Gro.","Laguna de Tuxpan, Gro.",Balsas,Guerrero,743.35,19.503,742.84,17.647,741.65,13.47,76
25,"Los Olivos, Mich.","Los Olivos, Mich.",Balsas,Michoacán,421,16.271,418,10.262,413.97,4.74,46
26,"Ing. Carlos Ramírez Ulloa, Gro.","El Caracol, Gro.",Balsas,Guerrero,523.6,1183.23,521,1057.29,518.88,963.234,91
27,"San Juanico, Mich.","La Laguna, Mich.",Balsas,Michoacán,1604.56,71.69,1603.86,60.545,1602.2,39.681,66
28,"Lázaro Cárdenas, Dgo.","El Palmito, Dgo.",Cuencas Centrales del Norte,Durango,1632,4278.541,1622.46,2957.61,1617.27,2384.26,81
29,"Los Naranjos, Dgo.","Los Naranjos, Dgo.",Cuencas Centrales del Norte,Durango,1661.09,27.39,1658.4,20.928,1658.3,20.713,99
30,"El Tigre, Dgo.",El Tigre,Cuencas Centrales del Norte,Durango,1580.12,18.56,1576.92,14,1570.73,6.156,44
31,"Santiago, Zac.",Santiago,Cuencas Centrales del Norte,Zacatecas,2000.26,11.421,1997.26,6.2,1996.56,5.229,84
32,"El Cazadero, Zac.","El Cazadero, Zac",Cuencas Centrales del Norte,Zacatecas,1919.94,44.68,1916,22.178,1915.74,21.059,95
33,"Gobernador Leobardo Reynoso, Zac.","Trujillo, Zac.",Cuencas Centrales del Norte,Zacatecas,2129.53,125.921,2127.35,95.717,2122.82,50.319,53
34,"Ing. Benjamín Ortega Cantero, Dgo.","Agua Puerca, Dgo.",Cuencas Centrales del Norte,Durango,1434.1,56.06,1430.2,30.764,1429.92,29.298,95
35,"San José, S.L.P.","San José, S.L.P.",Cuencas Centrales del Norte,San Luis Potosí,1933.7,5.656,1933.3,5.223,1929.93,2.821,54
36,"Constitución de Apatzingán, Jal.","Chilatán, Jal.",Balsas,Jalisco,437.68,807.15,429.45,590.025,420.34,404.528,69
37,"Zicuirán, Mich.","La Peña, Mich.",Balsas,Michoacán,301.44,47.485,299,36.294,295.81,24.297,67
38,"José María Morelos y Pavón, Mich.","La Villita, Mich.",Balsas,Michoacán,56.73,686.94,51.2,545.93,50.03,516.09,95
39,"Francisco Zarco, Dgo.","Las Tórtolas, Dgo.",Cuencas Centrales del Norte,Durango,1210.05,383.16,1208.2,309.24,1206.39,246.962,80
40,"Santa Rosa, Zac.","Santa Rosa, Zac.",Cuencas Centrales del Norte,Zacatecas,2249.64,14.041,2248.64,10.476,2247.16,6.03,58
41,"Villa Hidalgo, Dgo.","Villa Hidalgo, Dgo.",Cuencas Centrales del Norte,Durango,1729.55,39.555,1726.23,23.08,1724.52,16.833,73
42,"Gonzalo N. Santos, S.L.P.","El Peaje, S.L.P.",Cuencas Centrales del Norte,San Luis Potosí,2047.87,9.054,2044.85,6.685,2024.02,0.001,0
43,"Valentín Gama, S.L.P.","Ojo Caliente, S.L.P.",Cuencas Centrales del Norte,San Luis Potosí,1788.1,22.4,1783.8,9.51,1779.07,2.09,22
44,"El Potosino, S.L.P.","El Potosino, S.L.P.",Cuencas Centrales del Norte,San Luis Potosí,2000.85,5.199,1996.8,3.293,1987.48,0.702,21
45,"Cañada del Lobo, S.L.P.","Cañada del Lobo, S.L.P.",Cuencas Centrales del Norte,San Luis Potosí,1962.1,2.161,1958.8,1.244,1954.91,0.495,40
46,"Doctor Belisario Domínguez, Chis.","La Angostura, Chis.",Frontera Sur,Chiapas,539.5,19736.4,533,13169.63,520.67,6707.61,51
47,"Juan Sabines, Chis.","El Portillo II o Cuxtepeques, Chis.",Frontera Sur,Chiapas,618.27,116.11,612.12,68.15,610.79,60.427,89
48,"Tenango, Pue.","Tenango, Pue.",Golfo Centro,Puebla,1351.4,46.576,1345.6,28.479,1343,21.736,76
49,"Manuel Moreno Torres, Chis.","Chicoasén, Chis.",Frontera Sur,Chiapas,395,1318.6,392.5,205.98,391.9,193.646,94
50,"Nezahualcóyotl, Chis.","Malpaso, Chis.",Frontera Sur,Chiapas,188,14056.32,182.5,9317.39,175.06,7166.75,77
51,"Ángel Albino Corzo, Chis.","Peñitas, Chis.",Frontera Sur,Chiapas,95.5,578.63,87.4,215.041,85.51,171.653,80
52,"Necaxa, Pue.","Necaxa, Pue.",Golfo Centro,Puebla,1343,39.283,1338,29.055,1333.53,21.01,72
53,"La Laguna, Hgo.","Tejocotal, Pue.",Golfo Centro,Hidalgo,2184.5,49.227,2183,40.638,2176.43,9.359,23
54,"La Soledad, Pue.","La Soledad, Pue.",Golfo Centro,Puebla,805,14.98,804.5,13.9,799.3,5.51,40
55,"El Moralillo, Ver.",Piedra Labrada,Golfo Centro,Veracruz de Ignacio de la Llave,115.94,8.126,110.78,2.5,110.61,2.388,96
56,"Presidente Alemán, Oax.","Temascal, Oax.",Golfo Centro,Oaxaca,68.5,9105.54,66.5,8119.09,58.8,4845.85,60
57,"Canseco, Ver.","Laguna de Catemaco, Ver.",Golfo Centro,Veracruz de Ignacio de la Llave,333.5,552.7,332.7,493.02,331.97,439.3,89
58,"La Cangrejera, Ver.","La Crangrejera, Ver.",Golfo Centro,Veracruz de Ignacio de la Llave,21.65,31.6,21.25,28.537,20.03,20.438,72
59,"Los Reyes, Hgo.","Omiltepec, Pue.",Golfo Centro,Hidalgo,2167,29.263,2165,24.031,2157.6,7.956,33
60,"Miguel de la Madrid Hurtado, Oax.","Cerro de Oro, Oax.",Golfo Centro,Oaxaca,70.01,3547.16,64.86,2599.51,59.01,1711.4,66
61,"Pedro José Méndez, Tamps.","Pedro J. Méndez, Tamps.",Golfo Norte,Tamaulipas,449.4,38.36,447.22,31.26,435.4,7.34,23
62,"Jalpan, Qro.",Jalpan,Golfo Norte,Querétaro,784.55,11.56,780.55,8.12,777.95,6.299,78
63,"República Española, Tamps.","Real Viejo o El Sombrero, Tamps.",Golfo Norte,Tamaulipas,89.43,105.99,83,54.78,75.59,10.429,19
64,"La Muñeca, S.L.P.","La Muñeca, S.L.P.",Golfo Norte,San Luis Potosí,1841.75,31,1837.7,24.14,1832.69,14.139,59
65,"Vicente Guerrero, Tamps.","Las Adjuntas, Tamps.",Golfo Norte,Tamaulipas,144.04,5498.23,140.44,3910.69,128.25,690.6,18
66,"Ing. Fernando Hiriart Balderrama, Hgo.","Zimapán, Hgo.",Golfo Norte,Hidalgo,1563,1460,1560,1390,1541.94,1074.4,77
67,"La Venta, Qro.","La Venta, Qro.",Golfo Norte,Querétaro,1907.68,3.777,1906.68,2.479,1904.46,0.194,8
68,"Estudiante Ramiro Caballero Dorantes, Tamps.","Las Ánimas, Tamps.",Golfo Norte,Tamaulipas,52.55,654.37,51.7,563.443,48.64,302.655,54
69,"Lic. Emilio Portes Gil, Tamps.","San Lorenzo, Tamps.",Golfo Norte,Tamaulipas,123.9,255.65,122.95,230.78,112.36,75.018,33
70,"La Llave, Qro.","Divino Redentor, Qro.",Golfo Norte,Querétaro,1891.1,14.414,1890,9.312,1887.5,0,0
71,"Paso de Piedras, Ver.","Chicayán, Ver.",Golfo Norte,Veracruz de Ignacio de la Llave,28.28,572.32,23.07,220,20.95,132.321,60
72,"San Ildefonso, Qro.","El Tepozán, Qro.",Golfo Norte,Querétaro,2242.5,58.026,2239,47.812,2210.32,0.59,1
73,"Constitución de 1917, Qro.","Hidalgo, Qro.",Golfo Norte,Querétaro,1928.39,76.461,1927.06,66.08,1913.04,2.801,4
74,"El Centenario, Qro.","El Centenario, Qro.",Golfo Norte,Querétaro,1882.5,14.178,1881.55,9.781,1877.6,1.298,13
75,"La Esperanza, Hgo.","La Esperanza, Hgo.",Golfo Norte,Hidalgo,2209.6,4.2,2207.7,3.92,2207.32,3.75,96
76,"José Antonio Alzate, Méx.","San Bernabé, Méx.",Lerma-Santiago-Pacífico,México,2566.92,52.509,2565.5,35.312,2561,7.043,20
77,"Solís, Gto.","Solis, Gto.",Lerma-Santiago-Pacífico,Guanajuato,1898.7,1214.14,1892.54,800,1890.49,681.081,85
