#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
198,"Sierra de Guadalupe, Méx.                                                                                                                             ","Guadalupe,Méx.                                    ",Aguas del Valle de México,México,2306.82,64.08,2305.2,56.91,2302.17,44.823,79
197,"Laguna de Tuxpan, Gro.                                                                                                                                ","Laguna de Tuxpan, Gro.                            ",Balsas,Guerrero,743.35,19.503,742.84,17.647,742,14.589,83
196,"El Gallo, Gro.                                                                                                                                        ","El Gallo, Gro.                                    ",Balsas,Guerrero,368,545.966,362.78,400.039,362.7,439.3,110
195,"Valle de Bravo, Méx.                                                                                                                                  ","Valle de Bravo, Méx.                              ",Balsas,México,1833,449.42,1830,394.39,1829.03,374.631,95
194,"Vicente Aguirre, Hgo.                                                                                                                                 ","Las Golondrinas, Hgo.                             ",Aguas del Valle de México,Hidalgo,1855.5,19.685,1854.9,17.799,1852.95,7.72,43
193,"Requena, Hgo.                                                                                                                                         ","Requena, Hgo.                                     ",Aguas del Valle de México,Hidalgo,2110.3,61.519,2109,51.56,2108.92,52.148,101
192,"La Concepción, Méx.                                                                                                                                   ","La Concepción, Méx.                               ",Aguas del Valle de México,México,2352.54,12.599,2352.1,12.111,2350.22,10.224,84
191,"El Rodeo, Mor.                                                                                                                                        ","El Rodeo, Mor.                                    ",Balsas,Morelos,1166.5,33.137,1164.2,26.984,1157.69,12.563,47
190,"El Bosque, Mich.                                                                                                                                      ","El Bosque, Mich.                                  ",Balsas,Michoacán,1743,220.1,1741.4,202.4,1736.79,155.51,77
189,"Sabaneta, Mich.                                                                                                                                       ","Sabaneta, Mich.                                   ",Balsas,Michoacán,2508.95,5.875,2508,5.043,2508,5.189,103
188,"Yosocuta, Oax.                                                                                                                                        ",San Marcos Arteaga                                ,Balsas,Oaxaca,1512.55,57.26,1509.7,47.226,1509.63,47.018,100
187,"Tampico, Tamps.                                                                                                                                       ",Sistema lagunario Chairel                         ,Golfo Norte,Tamaulipas,1.4,854,1,676,0.81,593,88
186,"José López Portillo, N.L.                                                                                                                             ","Cerro Prieto, N.L.                                ",Río Bravo,Nuevo León,285.5,393,282.52,300,283.72,335.625,112
185,"Las Lajas, Chih.                                                                                                                                      ","Las Lajas, Chih.                                  ",Río Bravo,Chihuahua,1561.62,106.547,1558.7,83.266,1550.02,39.984,48
184,"Cuchillo Solidaridad, N.L.                                                                                                                            ","El Cuchillo, N.L.                                 ",Río Bravo,Nuevo León,166.66,1784.29,162.35,1123.14,163.72,1307.79,116
183,"Venustiano Carranza, Coah.                                                                                                                            ","Don Martín, Coah.                                 ",Río Bravo,Coahuila de Zaragoza,261.8,1322.37,259.24,874.1,260.27,1042.6,119
182,"Juan Guerrero Alcocer, Sin.                                                                                                                           ","Vinoramas, Sin.                                   ",Pacífico Norte,Sinaloa,176.28,102,168.5,54.684,157.96,16.947,31
181,"La Fragua, Coah.                                                                                                                                      ","La Fragua, Coah                                   ",Río Bravo,Coahuila de Zaragoza,303.96,85.38,300.3,47.295,300.34,45.86,97
180,"El Centenario, Coah.                                                                                                                                  ","El Centenario, Coah.                              ",Río Bravo,Coahuila de Zaragoza,336.38,25.711,336.15,24.589,336.02,24.6,100
