#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
58,"Ángel Albino Corzo, Chis.                                                                                                                             ","Peñitas, Chis.                                    ",Frontera Sur,Chiapas,95.5,578.63,87.4,215.041,87,887.88,413
45,"El Granero, Chih.                                                                                                                                     ","Ing. Luis L. León, Chih.                          ",Río Bravo,Chihuahua,1050.5,824.762,1034.8,284.382,1042.9,574.7,202
7,"Madín, Méx.                                                                                                                                           ","Madín, Méx.                                       ",Aguas del Valle de México,México,2346.04,17.964,2336.29,9.37,2335.74,15.507,165
72,"Manuel Moreno Torres, Chis.                                                                                                                           ","Chicoasén, Chis.                                  ",Frontera Sur,Chiapas,395,1318.6,392.5,205.98,391.82,312.91,152
39,"Cuauhtémoc, Son.                                                                                                                                      ","Santa Teresa, Son.                                ",Noroeste,Sonora,600.25,66.33,597,41.47,597.08,62.56,151
87,"Lázaro Cárdenas, Son.                                                                                                                                 ","La Angostura, Son.                                ",Noroeste,Sonora,840.15,1116.46,830.7,703.38,833.09,957.69,136
29,"Ignacio R. Alatorre, Son.                                                                                                                             ","Punta de Agua, Son.                               ",Noroeste,Sonora,102.71,29.69,100,16.16,98.24,21.249,131
10,"Pucuato, Mich.                                                                                                                                        ","Pucuato, Mich.                                    ",Balsas,Michoacán,2500,11.534,2499,9.485,2499,11.826,125
40,"Ing. Rodolfo Félix Valdés, Son.                                                                                                                       ","El Molinito, Son.                                 ",Noroeste,Sonora,293.4,222.47,289.36,121.202,289.31,149.31,123
73,"Paso de Piedras, Ver.                                                                                                                                 ","Chicayán, Ver.                                    ",Golfo Norte,Veracruz de Ignacio de la Llave,28.28,572.32,23.07,220,23.9,263.684,120
17,"Cointzio, Mich.                                                                                                                                       ","Cointzio, Mich.                                   ",Lerma-Santiago-Pacífico,Michoacán,2001.32,79.233,1999.47,68.52,1993.27,82.328,120
