#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
195,"Vicente Aguirre, Hgo.",Las Golondrinas,Aguas del Valle de México,Hidalgo,1858.5,21.8,1858.15,20.8,1852.69,7.292,35
194,"Pucuato, Mich.",Pucuato,Balsas,Michoacán,2500,11.534,2499,9.485,2479.77,8.232,87
193,"Derivadora Pabellón, Ags.",Der. Potrerillos,Lerma-Santiago-Pacífico,Aguascalientes,2093,2.1,2092.6,2.038,2086.38,1.216,60
192,"Salinillas, N.L.",Salinillas,Río Bravo,Nuevo León,232,19.011,232,19.011,229.19,7.171,38
191,"La Purísima, Gto.",La Purísima,Lerma-Santiago-Pacífico,Guanajuato,1860.79,181.926,1852.07,98.23,1842.29,44.773,46
190,"Requena, Hgo.",Requena,Aguas del Valle de México,Hidalgo,2110.5,60.53,2108.96,52.424,2106.76,37.984,72
189,"Javier Rojo Gómez, Hgo.",La Peña,Aguas del Valle de México,Hidalgo,1975.7,52.8,1974,46,1971.67,38.676,84
188,"Ing. Guillermo Lugo Sanabria, Jal.",La Pólvora,Lerma-Santiago-Pacífico,Jalisco,1665,55,1663.46,51.675,1644.75,15.76,30
187,"Peñuelitas, Gto.",Peñuelitas,Lerma-Santiago-Pacífico,Guanajuato,1907.29,30.169,1904.7,17.46,1899.29,6.225,36
186,"Ñadó, Méx.",Ñado,Aguas del Valle de México,México,2475.5,18.5,2474,16.8,2469.79,11.79,70
185,"Ing. Rodolfo Félix Valdés, Son.",El Molinito,Noroeste,Sonora,293.4,233.92,289.36,130.04,275.86,4.947,4
184,"La Concepción, Méx.",La Concepción,Aguas del Valle de México,México,2352.54,13.7,2352.1,12.111,2349.18,9.307,77
183,"Ing. Andrew Weiss, Chih.",La Colina,Río Bravo,Chihuahua,1249.85,26.97,1249.1,23.67,1249.28,24.436,103
182,"Leonardo Rodríguez Alcaine, Nay.",El Cajón,Lerma-Santiago-Pacífico,Nayarit,394,2860.2,391,2551.7,367.96,1501.72,59
