#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
197,"Ing. Carlos Ramírez Ulloa, Gro.                                                                                                                       ","El Caracol, Gro.                                  ",Balsas,Guerrero,523.6,1183.23,521,1057.29,518.8,1450.98,137
196,"Vicente Guerrero, Gro.                                                                                                                                ","Palos Altos, Gro.                                 ",Balsas,Guerrero,430.3,300,425,249.49,419.2,184,74
195,"Andrés Figueroa, Gro.                                                                                                                                 ","Las Garzas, Gro.                                  ",Balsas,Guerrero,382.61,133.029,377,102.5,374.18,90.25,88
194,"Manuel Ávila Camacho, Pue.                                                                                                                            ","Valsequillo o Balcón del Diablo, Pue.             ",Balsas,Puebla,2062,391.489,2059.02,300.654,2057.68,270.699,90
193,"Vicente Aguirre, Hgo.                                                                                                                                 ","Las Golondrinas, Hgo.                             ",Aguas del Valle de México,Hidalgo,1855.5,19.685,1854.9,17.799,1853.35,8.36,47
192,"Requena, Hgo.                                                                                                                                         ","Requena, Hgo.                                     ",Aguas del Valle de México,Hidalgo,2110.3,61.519,2109,51.56,2108.9,52.077,101
191,"Laguna de Tuxpan, Gro.                                                                                                                                ","Laguna de Tuxpan, Gro.                            ",Balsas,Guerrero,743.35,19.503,742.84,17.647,742.22,15.39,87
190,"Villa Victoria, Méx.                                                                                                                                  ","Villa Victoria,Méx.                               ",Balsas,México,2607.5,249.943,2605.5,185.723,2604.75,164.046,88
189,"San José Atlanga, Tlax.                                                                                                                               ","Atlanga,Tlax.                                     ",Balsas,Tlaxcala,2486.87,47.97,2486.4,42.63,2484.8,36.84,86
188,"Endhó, Hgo.                                                                                                                                           ","Endhó, Hgo.                                       ",Aguas del Valle de México,Hidalgo,2020,208.65,2018,182.9,2015.3,148.26,81
187,"Taxhimay, Méx.                                                                                                                                        ","Taxhimay, Méx.                                    ",Aguas del Valle de México,México,2216.1,47.386,2214.1,39.914,2208.01,42.79,107
186,"Tampico, Tamps.                                                                                                                                       ",Sistema lagunario Chairel                         ,Golfo Norte,Tamaulipas,1.4,854,1,676,0.75,564,83
185,"José López Portillo, N.L.                                                                                                                             ","Cerro Prieto, N.L.                                ",Río Bravo,Nuevo León,285.5,393,282.52,300,284.03,345.513,115
184,"El Tintero, Chih.                                                                                                                                     ","El Tintero, Chih.                                 ",Río Bravo,Chihuahua,1709.03,216.703,1703,125.075,1689.64,34.078,27
183,"San Miguel, Coah.                                                                                                                                     ","San Miguel, Coah.                                 ",Río Bravo,Coahuila de Zaragoza,341.96,22.193,341.74,21.168,341.14,18.146,86
182,"El Granero, Chih.                                                                                                                                     ","Ing. Luis L. León, Chih.                          ",Río Bravo,Chihuahua,1050.5,824.762,1034.8,284.382,1029.07,214.272,75
181,"Las Lajas, Chih.                                                                                                                                      ","Las Lajas, Chih.                                  ",Río Bravo,Chihuahua,1561.62,106.547,1558.7,83.266,1545.29,22.187,27
180,"Cuchillo Solidaridad, N.L.                                                                                                                            ","El Cuchillo, N.L.                                 ",Río Bravo,Nuevo León,166.66,1784.29,162.35,1123.14,165.95,1653.47,147
179,"Venustiano Carranza, Coah.                                                                                                                            ","Don Martín, Coah.                                 ",Río Bravo,Coahuila de Zaragoza,261.8,1322.37,259.24,874.1,256.43,503.688,58
178,"Internacional Falcón, Tamps.                                                                                                                          ","Falcón, Tamps.                                    ",Río Bravo,Tamaulipas,93.482,1607.96,91.81,1351.63,85,818.226,61
177,"Derivadora Las Blancas, Tamps.                                                                                                                        ","Las Blancas, Tamps.                               ",Río Bravo,Tamaulipas,91.8,133.432,89.92,83.784,88.81,70.237,84
176,"Marte Rodolfo Gómez, Tamps.                                                                                                                           ","El Azúcar, Tamps.                                 ",Río Bravo,Tamaulipas,83,2208.66,76.3,781.7,77.41,1007.06,129
175,"La Fragua, Coah.                                                                                                                                      ","La Fragua, Coah                                   ",Río Bravo,Coahuila de Zaragoza,303.96,85.38,300.3,47.295,300.3,45.534,96
174,"Rodrigo Gómez, N.L.                                                                                                                                   ","La Boca, N.L.                                     ",Río Bravo,Nuevo León,449.2,42.657,448.54,39.49,448.07,38.58,98
173,"Salinillas, N.L.                                                                                                                                      ","Salinillas, N.L.                                  ",Río Bravo,Nuevo León,232,19.011,232,19.011,228.43,4.542,24
172,"Chihuahua, Chih.                                                                                                                                      ","Chihuahua, Chih.                                  ",Río Bravo,Chihuahua,1544.28,35.631,1540.82,23.383,1532.72,8.844,38
171,"Revolución Mexicana, Gro.                                                                                                                             ","El Guineo, Gro.                                   ",Pacífico Sur,Guerrero,107.59,259.502,94.4,126.694,92.01,108.839,86
