#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
32,"José López Portillo, Sin.",El Comedero,Pacífico Norte,Sinaloa,286.95,3966.17,272.16,2580.19,237.22,678.282,26
31,"Jaripo, Mich.",Jaripo,Lerma-Santiago-Pacífico,Michoacán,1580.42,9.265,1578.91,6.028,1543.14,6.38,106
30,"Valentín Gama, S.L.P.",Ojo Caliente,Cuencas Centrales del Norte,San Luis Potosí,1788.1,22.4,1783.8,9.51,1783.17,8.014,84
29,"Ignacio R. Alatorre, Son.",Punta de Agua,Noroeste,Sonora,102.71,29.69,100,16.16,95.01,4.203,26
28,"Infiernillo, Mich.",Infiernillo,Balsas,Guerrero,183.2,12562.44,169,7297.79,162.53,7264.15,100
27,"San Ildefonso, Qro.",El Tepozán,Golfo Norte,Querétaro,2242.5,58.026,2239,47.812,2231.02,33.501,70
26,"Ignacio Allende, Gto.",La Begoña,Lerma-Santiago-Pacífico,Guanajuato,1832.65,221.693,1828.75,125.118,1827.12,116.45,93
25,"Hurtado, Jal.",Valencia,Lerma-Santiago-Pacífico,Jalisco,1462.66,22.625,1462.66,22.625,1460.4,10.883,48
24,"Huapango, Méx.",Huapango,Aguas del Valle de México,México,2512.8,126.5,2512.65,121.5,2509.7,24.4,20
23,"Presidente Guadalupe Victoria, Dgo.",El Tunal,Pacífico Norte,Durango,1934.61,94.617,1931,78.06,1932.28,89.03,114
22,"Guaracha, Mich.",San Antonio,Lerma-Santiago-Pacífico,Michoacán,1580.11,29.79,1580.01,28.677,1593.54,12.902,45
21,"La Golondrina, Gto.",La Golondrina,Lerma-Santiago-Pacífico,Guanajuato,1837.12,5.97,1835.2,4.67,1833.1,4.9,105
20,"Cuauhtémoc, Son.",Santa Teresa,Noroeste,Sonora,600.25,66.33,597,41.47,586.88,15.64,38
19,"Constitución de Apatzingán, Mich.",Chilatan,Balsas,Jalisco,437.68,807.15,429.45,590.025,424.74,500.776,85
18,"Chila, Jal.",Chila,Lerma-Santiago-Pacífico,Jalisco,99,1,98.7,0.762,98.18,0.66,87
