#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
1,"Guadalupe, Méx.","Guadalupe,Méx.",Aguas del Valle de México,México,2306.82,64.08,2305.2,56.91,2301.6,42.73,75
2,"Los Reyes, Hgo.","Omiltepec, Pue.",Golfo Centro,Hidalgo,2167,29.263,2165,24.031,2157.43,7.681,32
3,"La Soledad, Pue.","La Soledad, Pue.",Golfo Centro,Puebla,805,14.98,804.5,13.9,800.01,6.37,46
4,"El Moralillo, Ver.",Piedra Labrada,Golfo Centro,Veracruz de Ignacio de la Llave,115.94,8.126,110.78,2.5,110.74,2.474,99
5,"Presidente Alemán, Oax.","Temascal, Oax.",Golfo Centro,Oaxaca,68.5,9105.54,66.5,8119.09,60.36,5444.51,67
6,"Miguel de la Madrid Hurtado, Oax.","Cerro de Oro, Oax.",Golfo Centro,Oaxaca,70.01,3547.16,64.86,2599.51,60.53,1918.88,74
7,"Canseco, Ver.","Laguna de Catemaco, Ver.",Golfo Centro,Veracruz de Ignacio de la Llave,333.5,552.7,332.7,493.02,331.92,435.628,88
8,"La Cangrejera, Ver.","La Crangrejera, Ver.",Golfo Centro,Veracruz de Ignacio de la Llave,21.65,31.6,21.25,28.537,19.05,15.078,53
9,"Pedro José Méndez, Tamps.","Pedro J. Méndez, Tamps.",Golfo Norte,Tamaulipas,449.4,38.36,447.22,31.26,433.73,5.684,18
10,"Vicente Guerrero, Tamps.","Las Adjuntas, Tamps.",Golfo Norte,Tamaulipas,144.04,5498.23,140.44,3910.69,125.63,365.26,9
11,"República Española, Tamps.","Real Viejo o El Sombrero, Tamps.",Golfo Norte,Tamaulipas,89.43,105.99,83,54.78,75.02,9.077,17
12,"Jalpan, Qro.",Jalpan,Golfo Norte,Querétaro,784.55,11.2,780.55,8,770.14,2.393,30
13,"La Muñeca, S.L.P.","La Muñeca, S.L.P.",Golfo Norte,San Luis Potosí,1841.75,31,1837.7,24.14,1826.61,6.11,25
14,"Ing. Fernando Hiriart Balderrama, Hgo.","Zimapán, Hgo.",Golfo Norte,Hidalgo,1563,1460,1560,1390,1545.12,1129.968,81
15,"Paso de Piedras, Ver.","Chicayán, Ver.",Golfo Norte,Veracruz de Ignacio de la Llave,28.28,572.32,23.64,249.97,19.2,78.724,31
16,"Estudiante Ramiro Caballero Dorantes, Tamps.","Las Animas, Tamps.",Golfo Norte,Tamaulipas,52.55,654.37,51.7,563.443,43.39,81.164,14
17,"Lic. Emilio Portes Gil, Tamps.","San Lorenzo, Tamps.",Golfo Norte,Tamaulipas,123.9,255.65,122.95,230.78,110.85,63.681,28
18,"San Ildefonso, Qro.","El Tepozán, Qro.",Golfo Norte,Querétaro,2242.5,58.026,2239,47.812,2212.44,1.55,3
19,"Constitución de 1917, Qro.","Hidalgo, Qro.",Golfo Norte,Querétaro,1928.39,76.461,1927.06,66.08,1911.75,1.509,2
20,"La Venta, Qro.","La Venta, Qro.",Golfo Norte,Querétaro,1907.68,3.777,1906.68,2.479,1904,0,0
21,"La Llave, Qro.","Divino Redentor, Qro.",Golfo Norte,Querétaro,1891.1,14.414,1890,9.312,1887.5,0,0
22,"El Centenario, Qro.","El Centenario, Qro.",Golfo Norte,Querétaro,1882.5,14.178,1881.55,9.781,1876.67,0.64,7
23,"Ñadó, Méx.","Ñadó, Méx.",Aguas del Valle de México,México,2475.5,18.5,2474,16.8,2459.54,4.57,27
24,"Huapango, Méx.","Huapango, Méx.",Aguas del Valle de México,México,2512.8,126.5,2512.65,121.3,2507.75,3.55,3
25,"El Molino, Méx.","El Molino, Méx.",Aguas del Valle de México,México,2385.09,8.7,2384.39,7.686,2378.82,0.808,11
26,"La Esperanza, Hgo.","La Esperanza, Hgo.",Golfo Norte,Hidalgo,2209.6,4.2,2207.7,3.92,2207.7,3.92,100
27,"Danxho, Méx.","Danxho, Méx.",Aguas del Valle de México,México,2455.13,32.67,2454,31.046,2448.32,11.736,38
28,"José Antonio Alzate, Méx.","San Bernabé, Méx.",Lerma-Santiago-Pacífico,México,2566.92,52.509,2565.5,35.312,2560.08,4.99,14
29,"Ignacio Ramírez, Méx.","La Gavia, Méx.",Lerma-Santiago-Pacífico,México,2550.48,36.3,2548.44,20.227,2548.01,17.303,86
30,"San Andrés Tepetitlán, Méx.","Tepetitlán,Méx.",Lerma-Santiago-Pacífico,México,2594.46,81.029,2592.02,59.966,2590.63,49.414,82
31,"Tepuxtepec, Mich.","Tepuxtepec, Mich.",Lerma-Santiago-Pacífico,Michoacán,2350,537.527,2348.11,449.97,2344.64,310.281,69
32,"Solís, Gto.","Solis, Gto.",Lerma-Santiago-Pacífico,Guanajuato,1898.7,1214.14,1892.54,800,1886.74,486.909,61
