#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
1,"El Bosque, Mich.","El Bosque, Mich.",Balsas,Michoacán,1743,220.1,1741.4,202.4,1733.44,123.428,61
129,"La Calera, Gro.","La Calera, Gro.",Balsas,Guerrero,122.62,34.193,118,9.393,118.41,10.918,116
27,"José López Portillo, N.L.","Cerro Prieto, N.L.",Río Bravo,Nuevo León,285.5,393,282.52,300,283.86,340,113
85,"Sistema Lagunario del Río Tamesí, Tamps.","Tampico, Tamps.",Golfo Norte,Tamaulipas,1.4,854,1,676,1.12,730,108
58,"El Moralillo, Ver.",Piedra Labrada,Golfo Centro,Veracruz de Ignacio de la Llave,115.94,8.126,110.78,2.5,110.86,2.553,102
49,"Nexapa, Pue.","Nexapa, Pue.",Golfo Centro,Puebla,1362.35,15.313,1360,12.5,1360.18,12.75,102
139,"Pedro José Méndez, Tamps.","Pedro J. Méndez, Tamps.",Golfo Norte,Tamaulipas,449.4,38.36,447.22,31.26,447.36,31.68,101
138,"Ignacio Ramírez, Méx.","La Gavia, Méx.",Lerma-Santiago-Pacífico,México,2550.48,36.3,2548.44,20.227,2548.48,20.499,101
45,"Malpaís, Mich.","La Ciénega, Mich.",Lerma-Santiago-Pacífico,Michoacán,1843.56,27.249,1842.53,18.512,1842.56,18.754,101
150,"Requena, Hgo.","Requena, Hgo.",Aguas del Valle de México,Hidalgo,2110.3,61.519,2109,51.57,2109.02,51.723,100
132,"Laguna de Amela, Col.","Tecomán, Col.",Lerma-Santiago-Pacífico,Colima,7.64,41.3,7.39,38.343,0.2,38.285,100
90,"Taxhimay, Méx.","Taxhimay, Méx.",Aguas del Valle de México,México,2216.1,47.386,2214.1,39.914,2214.12,39.962,100
88,"San Andrés Tepetitlán, Méx.","Tepetitlán,Méx.",Lerma-Santiago-Pacífico,México,2594.46,81.029,2592.02,59.966,2592.03,60.049,100
60,"La Esperanza, Hgo.","La Esperanza, Hgo.",Golfo Norte,Hidalgo,2209.6,4.2,2207.7,3.92,2207.7,3.925,100
50,"El Niágara, Ags.","El Niágara, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1832.4,31.695,1828.4,16.188,1828.42,16.246,100
33,"La Fragua, Coah.","La Fragua, Coah",Río Bravo,Coahuila de Zaragoza,303.96,85.38,300.3,47.295,300.29,47.213,100
180,"Yosocuta, Oax.",San Marcos Arteaga,Balsas,Oaxaca,1512.55,57.26,1509.7,47.226,1509.51,46.662,99
163,"Sabaneta, Mich.","Sabaneta, Mich.",Balsas,Michoacán,2508.95,5.875,2508,5.043,2507.97,5.017,99
160,"República Española, Tamps.","Real Viejo o El Sombrero, Tamps.",Golfo Norte,Tamaulipas,89.43,105.99,83,54.78,82.97,54.488,99
158,"Revolución Mexicana, Gro.","El Guineo, Gro.",Pacífico Sur,Guerrero,107.59,259.502,94.4,126.694,94.27,125.669,99
69,"San Miguel, Coah.","San Miguel, Coah.",Río Bravo,Coahuila de Zaragoza,341.96,22.193,341.74,21.168,341.67,20.841,98
68,"Lic. Emilio Portes Gil, Tamps.","San Lorenzo, Tamps.",Golfo Norte,Tamaulipas,123.9,255.65,122.95,230.78,122.77,226.526,98
48,"Marte Rodolfo Gómez, Tamps.","El Azúcar, Tamps.",Río Bravo,Tamaulipas,83,2208.663,76.3,781.7,76.13,757.91,97
47,"Melchor Ocampo, Mich.","El Rosario, Mich.",Lerma-Santiago-Pacífico,Michoacán,1714.41,249.843,1711.9,194.454,1711.56,187.44,96
24,"Cointzio, Mich.","Cointzio, Mich.",Lerma-Santiago-Pacífico,Michoacán,2001.32,79.233,1999.47,68.52,1998.96,65.77,96
184,"Danxho, Méx.","Danxho, Méx.",Aguas del Valle de México,México,2455.13,32.67,2454,31.046,2453.65,29.421,95
175,"José María Morelos y Pavón, Mich.","La Villita, Mich.",Balsas,Michoacán,56.73,686.94,51.2,545.93,50.13,518.64,95
155,"Pucuato, Mich.","Pucuato, Mich.",Balsas,Michoacán,2500,11.534,2499,9.485,2498.73,8.968,95
7,"Cuchillo Solidaridad, N.L.","El Cuchillo, N.L.",Río Bravo,Nuevo León,166.66,1784.292,162.35,1123.143,161.94,1069.04,95
39,"Manuel Felgueres, Zac.","Lobatos, Zac.",Lerma-Santiago-Pacífico,Zacatecas,2080.18,9.435,2077.05,6.905,2076.48,6.512,94
188,"El Gallo, Gro.","El Gallo, Gro.",Balsas,Guerrero,368,545.966,362.78,400.039,361.54,370.047,93
115,"Jaripo, Mich.","Jaripo, Mich.",Lerma-Santiago-Pacífico,Michoacán,1580.42,9.265,1578.91,6.028,1578.62,5.582,93
97,"Agostitlán, Mich.","Mata de Pinos, Mich.",Balsas,Michoacán,2377.84,18.754,2376.6,15.675,2376.11,14.543,93
62,"Santiago, Zac.",Santiago,Cuencas Centrales del Norte,Zacatecas,2000.26,11.421,1997.26,6.2,1996.96,5.757,93
4,"Manuel Avila Camacho, Pue.","Valsequillo o Balcón del Diablo, Pue.",Balsas,Puebla,2062,391.489,2059.02,300.654,2058.27,280.639,93
135,"Canseco, Ver.","Laguna de Catemaco, Ver.",Golfo Centro,Veracruz de Ignacio de la Llave,333.5,552.7,332.7,493.02,332.14,451.804,92
186,"Ing. Carlos Ramírez Ulloa, Gro.","El Caracol, Gro.",Balsas,Guerrero,523.6,1183.23,521,1057.29,518.9,964.077,91
116,"Jocoque, Ags.","Derecha Jocoque, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1943.4,11.4,1942.45,10.975,1941,9.96,91
73,"Manuel M. Diéguez, Jal.","Santa Rosa, Jal.",Lerma-Santiago-Pacífico,Jalisco,748,418,746.46,393.36,743.47,356.23,91
3,"Basilio Vadillo, Jal.","Las Piedras, Jal.",Lerma-Santiago-Pacífico,Jalisco,978.97,146.888,974.35,124.75,972,113.877,91
189,"El Cazadero, Zac.","El Cazadero, Zac",Cuencas Centrales del Norte,Zacatecas,1919.94,44.68,1916,22.178,1915.5,20.026,90
171,"Ing. Santiago Camarena, Jal.","La Vega, Jal.",Lerma-Santiago-Pacífico,Jalisco,1258.86,80,1257,44.035,1256.74,39.655,90
20,"La Concepción, Méx.","La Concepción, Méx.",Aguas del Valle de México,México,2352.54,12.599,2352.1,12.111,2350.9,10.857,90
191,"Gonzalo N. Santos, S.L.P.","El Peaje, S.L.P.",Cuencas Centrales del Norte,San Luis Potosí,2047.87,9.054,2044.85,6.685,2043.72,5.937,89
182,"Ing. Fernando Hiriart Balderrama, Hgo.","Zimapán, Hgo.",Golfo Norte,Hidalgo,1563,1460,1560,1390,1551.38,1239.36,89
103,"Cincuenta Aniversario, Ags.",San José de Gracia,Lerma-Santiago-Pacífico,Aguascalientes,2088.57,5.039,2086,4.1,2084.38,3.661,89
74,"Independencia Nacional, Zac.",Santa Teresa,Lerma-Santiago-Pacífico,Zacatecas,1949.33,13.944,1946,9.172,1945.21,8.201,89
16,"Paso de Piedras, Ver.","Chicayán, Ver.",Golfo Norte,Veracruz de Ignacio de la Llave,28.28,572.32,23.64,249.97,23.11,222.003,89
6,"Caboraca, Dgo.","Canoas, Dgo.",Pacífico Norte,Durango,2001.28,57.88,1998.25,45,1997.21,40.037,89
196,"Estudiante Ramiro Caballero Dorantes, Tamps.","Las Animas, Tamps.",Golfo Norte,Tamaulipas,52.55,654.37,51.7,563.443,51,493.848,88
124,"Rodrigo Gómez, N.L.","La Boca, N.L.",Río Bravo,Nuevo León,449.2,42.657,448.54,39.49,447.52,34.87,88
165,"Santiago Bayacora, Dgo.","Santiago Bayacora, Dgo.",Pacífico Norte,Durango,1965.94,169.869,1959.01,130.047,1955.81,113.602,87
81,"Tepuxtepec, Mich.","Tepuxtepec, Mich.",Lerma-Santiago-Pacífico,Michoacán,2350,537.527,2348.11,449.97,2346.78,393.231,87
10,"Manuel Moreno Torres, Chis.","Chicoasén, Chis.",Frontera Sur,Chiapas,395,1318.6,392.5,205.98,391.2,179.699,87
193,"Endhó, Hgo.","Endhó, Hgo.",Aguas del Valle de México,Hidalgo,2020,208.65,2018,182.9,2015.98,156.678,86
122,"Juan Sabines, Chis.","El Portillo II o Cuxtepeques, Chis.",Frontera Sur,Chiapas,618.27,116.11,612.12,68.15,610.42,58.396,86
119,"Jalpan, Qro.",Jalpan,Golfo Norte,Querétaro,784.55,11.56,780.55,8.12,778.88,6.97,86
26,"Cajón de Peña, Jal.","Tomatlán, Jal.",Lerma-Santiago-Pacífico,Jalisco,139.2,707.62,131.66,500,128.81,429.956,86
148,"Ing. Guillermo Lugo Sanabria, Jal.","La Pólvora, Jal.",Lerma-Santiago-Pacífico,Jalisco,1665,56.15,1663.46,51.675,1660.28,43.76,85
91,"Urepetiro, Mich.","Urepetiro, Mich.",Lerma-Santiago-Pacífico,Michoacán,1745.68,10.923,1745,8.282,1744.6,7.045,85
89,"Solidaridad, Jal.","Trojes, Jal.",Lerma-Santiago-Pacífico,Jalisco,301.11,285.742,292.37,203.388,288.38,172.705,85
66,"Solís, Gto.","Solis, Gto.",Lerma-Santiago-Pacífico,Guanajuato,1898.7,1214.14,1892.54,800,1890.54,683.877,85
54,"Palomas, Zac.","Palomas, Zac.",Lerma-Santiago-Pacífico,Zacatecas,1907.48,8.761,1904.25,4.62,1903.58,3.933,85
161,"San Rafael, Nay.",San Rafael,Lerma-Santiago-Pacífico,Nayarit,66.1,35.591,63.41,26.179,61.99,21.88,84
141,"Madín, Méx.","Madín, Méx.",Aguas del Valle de México,México,2346.04,17.964,2336.29,9.37,2333.92,7.863,84
202,"Francisco Villa, Dgo.","El Bosque, Dgo.",Pacífico Norte,Durango,1996.13,96.57,1993,73.26,1991.08,60.933,83
157,"La Red, Jal.","La Red, Jal.",Lerma-Santiago-Pacífico,Jalisco,1794.7,18.3,1792.5,14.25,1791.19,11.854,83
209,"Presidente Guadalupe Victoria, Dgo.","El Tunal, Dgo.",Pacífico Norte,Durango,1934.61,94.617,1931,78.06,1927.54,63.721,82
205,"Guadalupe, Méx.","Guadalupe,Méx.",Aguas del Valle de México,México,2306.82,64.08,2305.2,56.91,2302.7,46.827,82
140,"Ing. Alfredo Elías Ayub, Jal.","La Yesca, Jal.",Lerma-Santiago-Pacífico,Nayarit,578,2392.88,575,2292.92,560.81,1864.211,81
77,"Tacotán, Jal.","Tacotán, Jal.",Lerma-Santiago-Pacífico,Jalisco,1406.29,169,1403.06,149.239,1396.73,120.427,81
51,"Necaxa, Pue.","Necaxa, Pue.",Golfo Centro,Puebla,1343,39.283,1338,29.055,1334.99,23.538,81
19,"Leonardo Rodríguez Alcaine, Nay.","Leonardo Rodríguez Alcáine, Nay.",Lerma-Santiago-Pacífico,Nayarit,394,2393.11,391,2282.13,379.53,1857.832,81
187,"Ing. Elías González Chávez, Jal.","Puente Calderón, Jal.",Lerma-Santiago-Pacífico,Jalisco,1620,100,1618,80,1616.17,63.709,80
176,"José María Morelos, Zac.","La Villita, Zac.",Lerma-Santiago-Pacífico,Zacatecas,1831.19,11.165,1829,9.018,1826.72,7.176,80
172,"Vicente Guerrero, Gro.","Palos Altos, Gro.",Balsas,Guerrero,430.3,300,425,249.49,420.52,199.17,80
127,"La Cangrejera, Ver.","La Crangrejera, Ver.",Golfo Centro,Veracruz de Ignacio de la Llave,21.65,31.6,21.25,28.537,20.44,22.935,80
112,"Infiernillo, Mich.","Infiernillo, Mich.",Balsas,Guerrero,183.2,15194.8,169,9367.77,163.57,7535.269,80
59,"Angel Albino Corzo, Chis.","Peñitas, Chis.",Frontera Sur,Chiapas,95.5,578.63,87.4,215.041,85.51,171.653,80
207,"La Golondrina, Gto.","La Golondrina,Gto.",Lerma-Santiago-Pacífico,Guanajuato,1837.12,5.97,1835.2,4.67,1833.51,3.688,79
199,"El Estribón, Jal.","El Estribón, Jal.",Lerma-Santiago-Pacífico,Jalisco,1881.41,7.74,1880,6.378,1878.15,5.048,79
136,"Laguna del Fresno, Mich.","Laguna del Fresno, Mich.",Lerma-Santiago-Pacífico,Michoacán,2057,13.132,2055.98,10.299,2055.17,8.165,79
86,"Tercer Mundo, Mich.","Chincua, Mich.",Lerma-Santiago-Pacífico,Michoacán,2428.58,17.332,2427.58,14.972,2426.11,11.783,79
76,"Ing. Julián Adame Alatorre, Zac.","Tayahua, Zac.",Lerma-Santiago-Pacífico,Zacatecas,1701.41,50.377,1696.01,31.598,1693.62,25.093,79
192,"Emilio López Zamora, B.C.","Ensenada, B.C.",Península de Baja California,Baja California,25.26,6.342,19.89,2.732,18.43,2.131,78
146,"Ñadó, Méx.","Ñadó, Méx.",Aguas del Valle de México,México,2475.5,18.5,2474,16.8,2470.96,13.1,78
53,"Peña del Aguila, Dgo.","Peña Del Aguila, Dgo.",Pacífico Norte,Durango,1895.27,54.902,1892.5,27.948,1891.59,21.844,78
145,"Los Moraleños, Zac.",Moraleños,Lerma-Santiago-Pacífico,Zacatecas,1322.93,26.07,1318.96,20.932,1316.04,16.064,77
8,"Miguel de la Madrid Hurtado, Oax.","Cerro de Oro, Oax.",Golfo Centro,Oaxaca,70.01,3547.16,64.86,2599.51,61.17,2012.71,77
195,"El Potosino, S.L.P.","El Potosino, S.L.P.",Cuencas Centrales del Norte,San Luis Potosí,2000.85,5.199,1996.8,3.293,1994.71,2.505,76
137,"Laguna de Tuxpan, Gro.","Laguna de Tuxpan, Gro.",Balsas,Guerrero,743.35,19.503,742.84,17.647,741.65,13.47,76
96,"Aguamilpa Solidaridad, Nay.","Aguamilpa, Nay.",Lerma-Santiago-Pacífico,Nayarit,232,6950,222,5785.16,208.7,4394.378,76
38,"Los Naranjos, Dgo.","Los Naranjos, Dgo.",Cuencas Centrales del Norte,Durango,1661.09,27.39,1658.4,20.928,1655.95,15.995,76
198,"El Salto, Jal.","El Salto, Jal.",Lerma-Santiago-Pacífico,Jalisco,1812.5,118.54,1810.16,85,1807.35,63.47,75
117,"Presidente Benito Juárez, Oax.","Bordo Benito Juárez, Oax.",Pacífico Sur,Oaxaca,139.85,1726.747,124.25,720.317,120.15,541.826,75
84,"Ramón Corona Madrigal General, Jal.","Trigomil, Jal.",Lerma-Santiago-Pacífico,Jalisco,1209.36,324,1201.4,250,1193.53,188.314,75
40,"Los Olivos, Mich.","Los Olivos, Mich.",Balsas,Michoacán,421,16.271,418,10.262,416.29,7.698,75
181,"Zicuirán, Mich.","La Peña, Mich.",Balsas,Michoacán,301.44,47.485,299,36.294,296.58,26.792,74
41,"Los Reyes, Hgo.","Omiltepec, Pue.",Golfo Centro,Hidalgo,2167,29.263,2165,24.031,2162.51,17.789,74
149,"Javier Rojo Gómez, Hgo.","La Peña, Hgo.",Aguas del Valle de México,Hidalgo,1977.839,43.317,1976.84,39.99,1972.68,28.839,72
83,"La Muñeca, S.L.P.","La Muñeca, S.L.P.",Golfo Norte,San Luis Potosí,1841.75,31,1837.7,24.14,1834.61,17.456,72
55,"Piedras Azules, Chih.",,Río Bravo,Chihuahua,1998.42,13.194,1996.5,8.712,1995.2,6.25,72
170,"Vicente C. Villaseñor, Jal.","Valle de Juárez, Jal.",Lerma-Santiago-Pacífico,Jalisco,1878,18.12,1877,14.44,1875.84,10.316,71
9,"La Codorniz, Ags.","La Codorniz, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1837.76,6.528,1836,5.366,1833.08,3.788,71
130,"La Colonia, Jal.","La Colonia, Jal.",Lerma-Santiago-Pacífico,Jalisco,103.4,6.5,103,5.775,102.4,4.04,70
78,"Presidente Alemán, Oax.","Temascal, Oax.",Golfo Centro,Oaxaca,68.5,9105.54,66.5,8119.09,61,5698.56,70
13,"Constitución de Apatzingán, Jal.","Chilatán, Jal.",Balsas,Jalisco,437.68,807.15,429.45,590.025,420.89,414.179,70
166,"Santa Elena, Dgo.","Santa Elena, Dgo.",Pacífico Norte,Durango,2001.61,18.766,1999.8,15.08,1997.16,10.456,69
152,"Salinillas, N.L.","Salinillas, N.L.",Río Bravo,Nuevo León,232,19.011,232,19.011,230.68,13.013,68
43,"Mariano Abasolo, Gto.","San Antonio de Aceves, Gto.",Lerma-Santiago-Pacífico,Guanajuato,1753.08,23.946,1751.3,20.079,1747.85,13.59,68
29,"El Carrizo, B.C.","El Carrizo, B.C.",Península de Baja California,Baja California,286.22,44.585,284.7,40.866,278.63,27.707,68
168,"Valle de Bravo, Méx.","Valle de Bravo, Méx.",Balsas,México,1833,449.42,1830,394.39,1822.22,262.938,67
80,"Tenango, Pue.","Tenango, Pue.",Golfo Centro,Puebla,1351.4,46.576,1345.6,28.479,1341.7,18.746,66
37,"El Granero, Chih.","Ing. Luis L. León, Chih.",Río Bravo,Chihuahua,1050.5,824.762,1034.8,284.382,1029.86,186.689,66
173,"Vicente Guerrero, Tamps.","Las Adjuntas, Tamps.",Golfo Norte,Tamaulipas,144.04,5498.23,140.44,3910.69,136.46,2531.74,65
61,"Francisco José Trinidad Fabela, Méx.","Islas de las Aves o El Salto, Méx.",Lerma-Santiago-Pacífico,México,2697.8,12.32,2696.7,9.93,2694.79,6.403,64
35,"La Laguna, Hgo.","Tejocotal, Pue.",Golfo Centro,Hidalgo,2184.5,49.227,2183,40.638,2180.21,25.412,63
28,"Corrinchis, Jal.",Corrinchis,Lerma-Santiago-Pacífico,Jalisco,1336.1,29,1332.6,20,1328.78,12.487,62
178,"Valerio Trujano, Gro.","Tepecoacuilco, Gro.",Balsas,Guerrero,842.78,51.727,840,31.014,837.62,18.872,61
143,"El Molino, Méx.","El Molino, Méx.",Aguas del Valle de México,México,2385.09,8.7,2384.39,7.686,2382.33,4.7,61
153,"Derivadora Pabellón, Ags.","Derecha Potrerillos, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,2093,2.1,2092.6,2.038,2086.51,1.231,60
64,"San Juanico, Mich.","La Laguna, Mich.",Balsas,Michoacán,1604.56,71.69,1603.86,60.545,1601.92,36.51,60
22,"El Centenario, Coah.","El Centenario, Coah.",Río Bravo,Coahuila de Zaragoza,336.38,25.711,336.15,24.589,333.72,14.727,60
12,"Chila, Jal.","Chila, Jal.",Lerma-Santiago-Pacífico,Jalisco,99,1,98.7,0.762,97.14,0.457,60
109,"Hurtado, Jal.","Valencia, Jal.",Lerma-Santiago-Pacífico,Jalisco,1462.66,22.624,1462.66,22.624,1461.91,13.299,59
102,"Doctor Belisario Domínguez, Chis.","La Angostura, Chis.",Frontera Sur,Chiapas,539.5,19736.4,533,13169.63,522.66,7643.54,58
31,"Cuquío, Jal.","Los Gigantes, Jal.",Lerma-Santiago-Pacífico,Jalisco,1806.58,8.85,1805.5,7.5,1802.7,4.325,58
108,"Las Auras, B.C.",,Península de Baja California,Baja California,822,5.1,820,5.01,814.64,2.836,57
162,"La Sauceda, Jal.","Garabatillos, Jal.",Lerma-Santiago-Pacífico,Jalisco,1921.03,21.5,1918.9,16,1915.55,8.935,56
114,"Valentín Gama, S.L.P.","Ojo Caliente, S.L.P.",Cuencas Centrales del Norte,San Luis Potosí,1788.1,22.4,1783.8,9.51,1781.76,5.296,56
94,"Andrés Figueroa, Gro.","Las Garzas, Gro.",Balsas,Guerrero,382.61,133.029,377,102.5,365.74,57.57,56
32,"Laguna de Yuriria, Gto.","Bordo de Tavamatacheo, Gto.",Lerma-Santiago-Pacífico,Guanajuato,1731.4,325.195,1730.92,278.79,1729.54,156.148,56
200,"Miguel Alemán, Zac.","Excamé, Zac.",Lerma-Santiago-Pacífico,Zacatecas,1704.5,70.92,1703.4,64.53,1697.41,35.554,55
133,"Lago de Chapala, Jal.","Chapala, Jal.",Lerma-Santiago-Pacífico,Jalisco,99,9279.71,98,8126.41,94.75,4484.47,55
111,"San Ildefonso, Qro.","El Tepozán, Qro.",Golfo Norte,Querétaro,2242.5,58.026,2239,47.812,2230,26.282,55
63,"San José Atlanga, Tlax.","Atlanga,Tlax.",Balsas,Tlaxcala,2486.87,47.97,2486.4,42.63,2484.27,22.844,54
100,"Abelardo L. Rodríguez, B.C.","Tijuana, B.C.",Península de Baja California,Baja California,125,121.392,115.85,76.9,106.37,39.664,52
70,"San José, S.L.P.","San José, S.L.P.",Cuencas Centrales del Norte,San Luis Potosí,1933.7,5.656,1933.3,5.223,1929.8,2.738,52
44,"Nezahualcóyotl, Chis.","Malpaso, Chis.",Frontera Sur,Chiapas,188,14056.32,182.5,9317.39,166.4,4868.93,52
46,"Media Luna, Ags.","Media Luna, Ags.",Lerma-Santiago-Pacífico,Aguascalientes,1621.96,21.196,1619.2,15,1614.55,7.62,51
101,"Aristeo Mercado, Mich.","Wilson ,Mich.",Lerma-Santiago-Pacífico,Michoacán,1993.8,28.305,1993.5,25.344,1992.03,12.777,50
72,"La Soledad, Pue.","La Soledad, Pue.",Golfo Centro,Puebla,805,14.98,804.5,13.9,800.23,6.653,48
23,"El Centenario, Qro.","El Centenario, Qro.",Golfo Norte,Querétaro,1882.5,14.178,1881.55,9.781,1879.92,4.711,48
95,"Agua Caliente, Son.",Dique 10,Noroeste,Sonora,79.6,41.16,79.1,37.58,75.77,17.839,47
15,"Chihuahua, Chih.","Chihuahua, Chih.",Río Bravo,Chihuahua,1544.28,35.631,1540.82,23.383,1535.6,10.911,47
179,"Villa Victoria, Méx.","Villa Victoria,Méx.",Balsas,México,2607.5,249.943,2605.5,185.723,2601.53,84.69,46
156,"Vicente Aguirre, Hgo.","Las Golondrinas, Hgo.",Aguas del Valle de México,Hidalgo,1855.5,19.685,1854.9,17.799,1851.09,8.19,46
190,"Cañada del Lobo, S.L.P.","Cañada del Lobo, S.L.P.",Cuencas Centrales del Norte,San Luis Potosí,1962.1,2.161,1958.8,1.244,1955.3,0.554,45
30,"El Cuarenta, Jal.","El Cuarenta, Jal.",Lerma-Santiago-Pacífico,Jalisco,2001.95,38.96,1998.75,30.625,1990.71,13.249,43
174,"Villa Hidalgo, Dgo.","Villa Hidalgo, Dgo.",Cuencas Centrales del Norte,Durango,1729.55,39.555,1726.23,23.08,1722.01,9.66,42
154,"Pátzcuaro, Mich.","Pátzcuaro, Mich.",Lerma-Santiago-Pacífico,Michoacán,2042.35,1135.573,2038.57,646.582,2034.56,269.721,42
11,"El Chique, Zac.","El Chique, Zac.",Lerma-Santiago-Pacífico,Zacatecas,1586.48,192.567,1580.18,138.909,1566.86,56.497,41
151,"La Purísima, Gto.","La Purísima, Gto.",Lerma-Santiago-Pacífico,Guanajuato,1860.7,181.926,1853.47,110,1844.02,44.179,40
110,"Ignacio Allende, Gto.","La Begoña, Gto.",Lerma-Santiago-Pacífico,Guanajuato,1833.33,241.41,1830.75,170.79,1825.36,67.004,39
52,"Pico del Aguila, Chih.","Pico Del Aguila, Chih.",Río Bravo,Chihuahua,1619,59.843,1616.9,48.276,1609.77,18.5,38
79,"Tenasco, Jal.","Boquilla de Zaragoza, Jal.",Lerma-Santiago-Pacífico,Jalisco,1724.84,13.85,1722.85,10.49,1716.63,3.874,37
210,"Huapango, Méx.","Huapango, Méx.",Aguas del Valle de México,México,2512.8,126.5,2512.65,121.3,2510.54,43.256,36
159,"El Rodeo, Mor.","El Rodeo, Mor.",Balsas,Morelos,1166.5,33.137,1164.2,26.984,1156.87,9.769,36
21,"Constitución de 1917, Qro.","Hidalgo, Qro.",Golfo Norte,Querétaro,1928.39,76.461,1927.06,66.08,1919.99,22.977,35
65,"La Soledad, Gto.","La Soledad, Gto.",Lerma-Santiago-Pacífico,Guanajuato,2209.15,2.371,2207.75,1.857,2204.23,0.639,34
203,"Francisco Zarco, Dgo.","Las Tórtolas, Dgo.",Cuencas Centrales del Norte,Durango,1210.05,383.16,1208.2,309.24,1200.58,103.139,33
197,"El Rejón, Chih.","El Rejón, Chih.",Río Bravo,Chihuahua,1478.32,7.755,1477,6.528,1469.78,2.106,32
167,"San Gabriel, Dgo.","San Gabriel, Dgo.",Río Bravo,Durango,1783.39,377.338,1777.9,245.431,1766.53,76.964,31
131,"Lázaro Cárdenas, Dgo.","El Palmito, Dgo.",Cuencas Centrales del Norte,Durango,1632,4278.541,1622.46,2957.61,1597.08,918.516,31
