#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
210,"Francisco Zarco, Dgo.","Las Tórtolas, Dgo.","Cuencas Centrales del Norte","Durango","1210.050","383.160","1208.200","309.240","1201.920","128.165",41
209,"Francisco Villa, Dgo.","El Bosque, Dgo.","Pacífico Norte","Durango","1996.130","96.570","1993.000","73.260","1990.810","59.342",81
208,"Las Vírgenes, Chih.","Francisco I. Madero, Chih.","Río Bravo","Chihuahua","1242.560","477.622","1239.300","333.320","1224.100","38.889",12
207,"Miguel Alemán, Zac.","Excamé, Zac.","Lerma-Santiago-Pacífico","Zacatecas","1704.500","70.920","1703.400","64.530","1695.030","26.914",42
206,"El Estribón, Jal.","El Estribón, Jal.","Lerma-Santiago-Pacífico","Jalisco","1881.410","7.740","1880.000","6.378","1878.150","5.048",79
205,"El Salto, Jal.","El Salto, Jal.","Lerma-Santiago-Pacífico","Jalisco","1812.500","118.540","1810.160","85.000","1805.870","52.713",62
204,"El Rejón, Chih.","El Rejón, Chih.","Río Bravo","Chihuahua","1478.320","7.755","1477.000","6.528","1469.460","1.993",31
203,"Estudiante Ramiro Caballero Dorantes, Tamps.","Las Animas, Tamps.","Golfo Norte","Tamaulipas","52.550","654.370","51.700","563.443","49.970","401.496",71
202,"El Potosino, S.L.P.","El Potosino, S.L.P.","Cuencas Centrales del Norte","San Luis Potosí","2000.850","5.199","1996.800","3.293","1991.010","1.416",43
201,"El Palote, Gto.","El Palote, Gto.","Lerma-Santiago-Pacífico","Guanajuato","1838.600","17.161","1836.150","9.643","1831.390","0.520",5
200,"Endhó, Hgo.","Endhó, Hgo.","Aguas del Valle de México","Hidalgo","2020.000","208.650","2018.000","182.900","2012.000","114.000",62
199,"Emilio López Zamora, B.C.","Ensenada, B.C.","Península de Baja California","Baja California","25.260","6.342","19.890","2.732","18.420","2.127",78
198,"Gonzalo N. Santos, S.L.P.","El Peaje, S.L.P.","Cuencas Centrales del Norte","San Luis Potosí","2047.870","9.054","2044.850","6.685","2043.250","5.642",84
197,"Cañada del Lobo, S.L.P.","Cañada del Lobo, S.L.P.","Cuencas Centrales del Norte","San Luis Potosí","1962.100","2.161","1958.800","1.244","1954.830","0.483",39
196,"El Cazadero, Zac.","El Cazadero, Zac","Cuencas Centrales del Norte","Zacatecas","1919.940","44.680","1916.000","22.178","1914.380","15.532",70
195,"El Gallo, Gro.","El Gallo, Gro.","Balsas","Guerrero","368.000","545.966","362.780","400.039","358.840","310.480",78
194,"Ing. Elías González Chávez, Jal.","Puente Calderón, Jal.","Lerma-Santiago-Pacífico","Jalisco","1620.000","100.000","1618.000","80.000","1615.110","55.193",69
193,"Ing. Carlos Ramírez Ulloa, Gro.","El Caracol, Gro.","Balsas","Guerrero","523.600","1183.230","521.000","1057.290","517.770","917.443",87
192,"Lic. Eustaquio Buelna, Sin.","Guamúchil, Sin.","Pacífico Norte","Sinaloa","68.850","264.950","63.540","80.080","58.000","9.980",12
191,"Danxho, Méx.","Danxho, Méx.","Aguas del Valle de México","México","2455.130","32.670","2454.000","31.046","2451.500","20.830",67
190,"De Gonzalo, Mich.","De Gonzalo, Mich.","Lerma-Santiago-Pacífico","Michoacán","1534.900","10.000","1533.880","8.837","1532.250","1.164",13
189,"El Bosque, Mich.","El Bosque, Mich.","Balsas","Michoacán","1743.000","220.100","1741.400","202.400","1729.710","94.083",46
188,"Cuquío, Jal.","Los Gigantes, Jal.","Lerma-Santiago-Pacífico","Jalisco","1806.580","8.850","1805.500","7.500","1802.700","4.325",58
187,"El Cuarenta, Jal.","El Cuarenta, Jal.","Lerma-Santiago-Pacífico","Jalisco","2001.950","38.960","1998.750","30.625","1990.580","13.002",42
186,"El Carrizo, B.C.","El Carrizo, B.C.","Península de Baja California","Baja California","286.220","44.585","284.700","40.866","278.920","28.271",69
185,"Corrinchis, Jal.","Corrinchis","Lerma-Santiago-Pacífico","Jalisco","1336.100","29.000","1332.600","20.000","1326.220","7.996",40
184,"José López Portillo, N.L.","Cerro Prieto, N.L.","Río Bravo","Nuevo León","285.500","393.000","282.520","300.000","283.140","317.647",106
183,"Cajón de Peña, Jal.","Tomatlán, Jal.","Lerma-Santiago-Pacífico","Jalisco","139.200","707.620","131.660","500.000","124.590","334.718",67
182,"Ramón Corona Madrigal General, Jal.","Trigomil, Jal.","Lerma-Santiago-Pacífico","Jalisco","1209.360","324.000","1201.400","250.000","1188.880","157.366",63
181,"La Muñeca, S.L.P.","La Muñeca, S.L.P.","Golfo Norte","San Luis Potosí","1841.750","31.000","1837.700","24.140","1833.870","16.047",66
180,"El Tigre, Dgo.","El Tigre","Cuencas Centrales del Norte","Durango","1580.120","18.560","1576.920","14.000","1566.450","2.903",21
179,"Tepuxtepec, Mich.","Tepuxtepec, Mich.","Lerma-Santiago-Pacífico","Michoacán","2350.000","537.527","2348.110","449.970","2344.410","301.922",67
178,"Tenango, Pue.","Tenango, Pue.","Golfo Centro","Puebla","1351.400","46.576","1345.600","28.479","1327.200","0.449",2
177,"Tenasco, Jal.","Boquilla de Zaragoza, Jal.","Lerma-Santiago-Pacífico","Jalisco","1724.840","13.850","1722.850","10.490","1715.980","3.358",32
176,"Presidente Alemán, Oax.","Temascal, Oax.","Golfo Centro","Oaxaca","68.500","9105.540","66.500","8119.090","58.140","4608.520",57
175,"Tacotán, Jal.","Tacotán, Jal.","Lerma-Santiago-Pacífico","Jalisco","1406.290","169.000","1403.060","149.239","1393.280","105.274",71
174,"Ing. Julián Adame Alatorre, Zac.","Tayahua, Zac.","Lerma-Santiago-Pacífico","Zacatecas","1701.410","50.377","1696.010","31.598","1691.820","20.846",66
173,"Santa Rosa, Zac.","Santa Rosa, Zac.","Cuencas Centrales del Norte","Zacatecas","2249.640","14.041","2248.640","10.476","2245.230","1.874",18
172,"Independencia Nacional, Zac.","Santa Teresa","Lerma-Santiago-Pacífico","Zacatecas","1949.330","13.944","1946.000","9.172","1943.940","6.749",74
171,"Manuel M. Diéguez, Jal.","Santa Rosa, Jal.","Lerma-Santiago-Pacífico","Jalisco","748.000","418.000","746.460","393.360","740.630","330.670",84
170,"La Soledad, Pue.","La Soledad, Pue.","Golfo Centro","Puebla","805.000","14.980","804.500","13.900","800.170","6.575",47
169,"Sanalona, Sin.","Sanalona, Sin.","Pacífico Norte","Sinaloa","162.170","987.522","156.200","687.988","129.330","40.870",6
168,"San José, S.L.P.","San José, S.L.P.","Cuencas Centrales del Norte","San Luis Potosí","1933.700","5.656","1933.300","5.223","1929.530","2.569",49
167,"San Miguel, Coah.","San Miguel, Coah.","Río Bravo","Coahuila de Zaragoza","341.960","22.193","341.740","21.168","340.710","16.885",80
166,"Lic. Emilio Portes Gil, Tamps.","San Lorenzo, Tamps.","Golfo Norte","Tamaulipas","123.900","255.650","122.950","230.780","121.960","207.473",90
165,"Ing. Aurelio Benassini Vizcaíno, Sin.","El Salto o Elota, Sin.","Pacífico Norte","Sinaloa","164.640","815.592","154.500","403.900","136.140","78.807",20
164,"Solís, Gto.","Solis, Gto.","Lerma-Santiago-Pacífico","Guanajuato","1898.700","1214.140","1892.540","800.000","1887.620","529.338",66
163,"La Soledad, Gto.","La Soledad, Gto.","Lerma-Santiago-Pacífico","Guanajuato","2209.150","2.371","2207.750","1.857","2203.080","0.413",22
162,"San Juanico, Mich.","La Laguna, Mich.","Balsas","Michoacán","1604.560","71.690","1603.860","60.545","1601.660","33.677",56
161,"San José Atlanga, Tlax.","Atlanga,Tlax.","Balsas","Tlaxcala","2486.870","47.970","2486.400","42.630","2484.040","21.121",50
160,"Santiago, Zac.","Santiago","Cuencas Centrales del Norte","Zacatecas","2000.260","11.421","1997.260","6.200","1995.960","4.444",72
159,"San Gabriel, Dgo.","San Gabriel, Dgo.","Río Bravo","Durango","1783.390","377.338","1777.900","245.431","1763.320","51.060",21
158,"Santa Elena, Dgo.","Santa Elena, Dgo.","Pacífico Norte","Durango","2001.610","18.766","1999.800","15.080","1996.550","9.510",63
157,"Santiago Bayacora, Dgo.","Santiago Bayacora, Dgo.","Pacífico Norte","Durango","1965.940","169.869","1959.010","130.047","1954.430","107.170",82
156,"José Antonio Alzate, Méx.","San Bernabé, Méx.","Lerma-Santiago-Pacífico","México","2566.920","52.509","2565.500","35.312","2562.070","10.671",30
155,"Sabaneta, Mich.","Sabaneta, Mich.","Balsas","Michoacán","2508.950","5.875","2508.000","5.043","2507.940","4.994",99
154,"La Sauceda, Jal.","Garabatillos, Jal.","Lerma-Santiago-Pacífico","Jalisco","1921.030","21.500","1918.900","16.000","1915.110","8.187",51
153,"San Rafael, Nay.","San Rafael","Lerma-Santiago-Pacífico","Nayarit","66.100","35.591","63.410","26.179","61.840","21.453",82
152,"Palomas, Zac.","Palomas, Zac.","Lerma-Santiago-Pacífico","Zacatecas","1907.480","8.761","1904.250","4.620","1903.220","3.583",78
151,"Peña del Aguila, Dgo.","Peña Del Aguila, Dgo.","Pacífico Norte","Durango","1895.270","54.902","1892.500","27.948","1891.030","18.400",66
150,"Pico del Aguila, Chih.","Pico Del Aguila, Chih.","Río Bravo","Chihuahua","1619.000","59.843","1616.900","48.276","1613.580","32.698",68
149,"Necaxa, Pue.","Necaxa, Pue.","Golfo Centro","Puebla","1343.000","39.283","1338.000","29.055","1323.160","6.484",22
148,"El Niágara, Ags.","El Niágara, Ags.","Lerma-Santiago-Pacífico","Aguascalientes","1832.400","31.695","1828.400","16.188","1828.330","15.987",99
147,"Nexapa, Pue.","Nexapa, Pue.","Golfo Centro","Puebla","1362.350","15.313","1360.000","12.500","1360.190","12.763",102
146,"Marte Rodolfo Gómez, Tamps.","El Azúcar, Tamps.","Río Bravo","Tamaulipas","83.000","2208.663","76.300","781.700","75.900","726.441",93
145,"Melchor Ocampo, Mich.","El Rosario, Mich.","Lerma-Santiago-Pacífico","Michoacán","1714.410","249.843","1711.900","194.454","1709.290","142.600",73
144,"Media Luna, Ags.","Media Luna, Ags.","Lerma-Santiago-Pacífico","Aguascalientes","1621.960","21.196","1619.200","15.000","1613.490","6.441",43
143,"Malpaís, Mich.","La Ciénega, Mich.","Lerma-Santiago-Pacífico","Michoacán","1843.560","27.249","1842.530","18.512","1840.630","6.858",37
142,"Nezahualcóyotl, Chis.","Malpaso, Chis.","Frontera Sur","Chiapas","188.000","14056.320","182.500","9317.390","166.600","4920.320",53
141,"Mariano Abasolo, Gto.","San Antonio de Aceves, Gto.","Lerma-Santiago-Pacífico","Guanajuato","1753.080","23.946","1751.300","20.079","1743.630","7.390",37
140,"Gobernador Leobardo Reynoso, Zac.","Trujillo, Zac.","Cuencas Centrales del Norte","Zacatecas","2129.530","125.921","2127.350","95.717","2117.000","17.716",19
139,"Los Reyes, Hgo.","Omiltepec, Pue.","Golfo Centro","Hidalgo","2167.000","29.263","2165.000","24.031","2162.410","17.554",73
138,"Los Olivos, Mich.","Los Olivos, Mich.","Balsas","Michoacán","421.000","16.271","418.000","10.262","414.170","4.973",48
137,"Manuel Felgueres, Zac.","Lobatos, Zac.","Lerma-Santiago-Pacífico","Zacatecas","2080.180","9.435","2077.050","6.905","2075.960","6.163",89
136,"Los Naranjos, Dgo.","Los Naranjos, Dgo.","Cuencas Centrales del Norte","Durango","1661.090","27.390","1658.400","20.928","1655.950","15.995",76
135,"El Granero, Chih.","Ing. Luis L. León, Chih.","Río Bravo","Chihuahua","1050.500","824.762","1034.800","284.382","1028.400","162.300",57
134,"La Llave, Qro.","Divino Redentor, Qro.","Golfo Norte","Querétaro","1891.100","14.414","1890.000","9.312","1887.500","0.000",0
133,"La Laguna, Hgo.","Tejocotal, Pue.","Golfo Centro","Hidalgo","2184.500","49.227","2183.000","40.638","2180.080","24.744",61
132,"Las Lajas, Chih.","Las Lajas, Chih.","Río Bravo","Chihuahua","1561.620","106.547","1558.700","83.266","1540.660","6.054",7
131,"La Fragua, Coah.","La Fragua, Coah","Río Bravo","Coahuila de Zaragoza","303.960","85.380","300.300","47.295","299.980","44.696",95
130,"Laguna de Yuriria, Gto.","Bordo de Tavamatacheo, Gto.","Lerma-Santiago-Pacífico","Guanajuato","1731.400","325.195","1730.920","278.790","1728.940","109.628",39
129,"Laguna de Tuxpan, Gro.","Laguna de Tuxpan, Gro.","Balsas","Guerrero","743.350","19.503","742.840","17.647","741.650","13.470",76
128,"Laguna del Fresno, Mich.","Laguna del Fresno, Mich.","Lerma-Santiago-Pacífico","Michoacán","2057.000","13.132","2055.980","10.299","2053.940","5.208",51
127,"Canseco, Ver.","Laguna de Catemaco, Ver.","Golfo Centro","Veracruz de Ignacio de la Llave","333.500","552.700","332.700","493.020","331.830","429.022",87
126,"Luis Donaldo Colosio, Sin.","Huites, Sin.","Pacífico Norte","Sinaloa","290.000","4567.080","274.000","3202.160","188.050","111.381",3
125,"Lago de Chapala, Jal.","Chapala, Jal.","Lerma-Santiago-Pacífico","Jalisco","99.000","9279.710","98.000","8126.410","94.360","4072.527",50
124,"Laguna de Amela, Col.","Tecomán, Col.","Lerma-Santiago-Pacífico","Colima","7.640","41.300","7.390","38.343","7.370","38.107",99
123,"Lázaro Cárdenas, Dgo.","El Palmito, Dgo.","Cuencas Centrales del Norte","Durango","1632.000","4278.541","1620.870","2770.510","1593.210","735.020",27
122,"Cointzio, Mich.","Cointzio, Mich.","Lerma-Santiago-Pacífico","Michoacán","2001.320","79.233","1999.470","68.520","1995.300","47.800",70
121,"El Centenario, Qro.","El Centenario, Qro.","Golfo Norte","Querétaro","1882.500","14.178","1881.550","9.781","1878.950","2.890",30
120,"El Centenario, Coah.","El Centenario, Coah.","Río Bravo","Coahuila de Zaragoza","336.380","25.711","336.150","24.589","332.440","10.801",44
119,"Constitución de 1917, Qro.","Hidalgo, Qro.","Golfo Norte","Querétaro","1928.390","76.461","1927.060","66.080","1918.140","15.355",23
118,"La Concepción, Méx.","La Concepción, Méx.","Aguas del Valle de México","México","2352.540","12.599","2352.100","12.111","2349.700","9.759",81
117,"Leonardo Rodríguez Alcaine, Nay.","Leonardo Rodríguez Alcáine, Nay.","Lerma-Santiago-Pacífico","Nayarit","394.000","2393.110","391.000","2282.130","378.230","1809.742",79
116,"Internacional Falcón, Tamps.","Falcón, Tamps.","Río Bravo","Tamaulipas","93.482","1607.962","91.810","1351.630","78.215","112.788",8
115,"Internacional La Amistad, Coah.","La Amistad, Coah.","Río Bravo","Coahuila de Zaragoza","349.030","2707.437","340.460","1769.660","320.230","241.288",14
114,"Paso de Piedras, Ver.","Chicayán, Ver.","Golfo Norte","Veracruz de Ignacio de la Llave","28.280","572.320","23.640","249.970","22.570","197.242",79
113,"Chihuahua, Chih.","Chihuahua, Chih.","Río Bravo","Chihuahua","1544.280","35.631","1540.820","23.383","1535.150","10.110",43
112,"Cuauhtémoc, Son.","Santa Teresa, Son.","Noroeste","Sonora","600.250","66.330","597.000","41.470","585.180","1.232",3
111,"Constitución de Apatzingán, Jal.","Chilatán, Jal.","Balsas","Jalisco","437.680","807.150","429.450","590.025","414.170","313.487",53
110,"Chila, Jal.","Chila, Jal.","Lerma-Santiago-Pacífico","Jalisco","99.000","1.000","98.700","0.762","97.140","0.457",60
109,"El Chique, Zac.","El Chique, Zac.","Lerma-Santiago-Pacífico","Zacatecas","1586.480","192.567","1580.180","138.909","1565.860","52.039",37
108,"Manuel Moreno Torres, Chis.","Chicoasén, Chis.","Frontera Sur","Chiapas","395.000","1318.600","392.500","205.980","391.260","180.894",88
107,"La Codorniz, Ags.","La Codorniz, Ags.","Lerma-Santiago-Pacífico","Aguascalientes","1837.760","6.528","1836.000","5.366","1831.800","3.213",60
106,"Miguel de la Madrid Hurtado, Oax.","Cerro de Oro, Oax.","Golfo Centro","Oaxaca","70.010","3547.160","64.860","2599.510","58.330","1623.520",62
105,"Cuchillo Solidaridad, N.L.","El Cuchillo, N.L.","Río Bravo","Nuevo León","166.660","1784.292","162.350","1123.143","161.630","1033.210",92
104,"Caboraca, Dgo.","Canoas, Dgo.","Pacífico Norte","Durango","2001.280","57.880","1998.250","45.000","1996.570","38.026",85
103,"Ramón López Velarde, Zac.","Boca del Tesorero, Zac.","Lerma-Santiago-Pacífico","Zacatecas","2098.160","36.744","2096.000","26.220","2089.420","6.699",26
102,"Manuel Avila Camacho, Pue.","Valsequillo o Balcón del Diablo, Pue.","Balsas","Puebla","2062.000","391.489","2059.020","300.654","2052.160","147.780",49
101,"Basilio Vadillo, Jal.","Las Piedras, Jal.","Lerma-Santiago-Pacífico","Jalisco","978.970","146.888","974.350","124.750","964.680","84.939",68
100,"El Batán, Qro.","Los Arcos","Lerma-Santiago-Pacífico","Querétaro","1905.150","8.042","1902.100","5.791","1891.340","1.227",21
99,"Las Auras, B.C.","","Península de Baja California","Baja California","822.000","5.100","820.000","5.010","815.163","3.016",60
98,"Abelardo Rodríguez Luján, Son.","Hermosillo, Son.","Noroeste","Sonora","228.400","284.470","226.980","219.520","214.000","0.000",0
97,"Adolfo Ruiz Cortines, Son.","Mocúzari, Son.","Noroeste","Sonora","145.470","1822.141","138.460","1200.000","97.150","8.571",1
96,"Ing. Benjamín Ortega Cantero, Dgo.","Agua Puerca, Dgo.","Cuencas Centrales del Norte","Durango","1434.100","56.060","1430.200","30.764","1424.010","7.729",25
95,"Alvaro Obregón, Son.","Oviachic, Son.","Noroeste","Sonora","112.200","4478.215","105.500","3023.140","82.840","473.720",16
