#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
195,"Ing. Elías González Chávez, Jal.",Puente Calderón,Lerma-Santiago-Pacífico,Jalisco,1620,100,1618,80,1611.28,30.904,39
194,"Ing. Carlos Ramírez Ulloa, Gro.",El Caracol,Balsas,Guerrero,523.6,1202.398,521,1084.85,520.99,1458.08,134
193,"Lic. Eustaquio Buelna, Sin.",Guamuchil,Pacífico Norte,Sinaloa,68.85,264.95,63.54,80.08,63.33,75.52,94
192,"Danxhó, Méx.",Danxho,Aguas del Valle de México,México,2455.13,32.67,2454,31.05,2453.64,29.376,95
191,"De Gonzalo, Mich.",De Gonzalo,Lerma-Santiago-Pacífico,Michoacán,1534.9,10,1533.88,8.837,1533.15,2.36,27
190,"El Bosque, Mich.",El Bosque,Balsas,Michoacán,1743,250.5,1741.4,202.4,1736.39,151.91,75
189,"Cuquío, Jal.",Los Gigantes,Lerma-Santiago-Pacífico,Jalisco,1806.58,8.85,1805.5,7.5,1804.75,6.6,88
188,"Ing. Benjamín Ortega Cantero, Dgo.",Agua Puerca,Cuencas Centrales del Norte,Durango,1434.1,56.06,1430.2,30.764,1424.02,7.752,25
187,"Álvaro Obregón, Son.",El Oviachic,Noroeste,Sonora,112.2,4409.36,105.5,3023.14,99.14,1976.15,65
186,"Doctor Belisario Domínguez, Chis.",Angostura,Frontera Sur,Chiapas,539.5,19736.43,533,15549.16,530.28,13933.1,90
185,"Internacional La Amistad, Coah.",La Amistad,Río Bravo,Coahuila de Zaragoza,349.08,7000,340.462,4040.325,331.55,2152.79,53
184,"Aristeo Mercado, Mich.",Wilson,Lerma-Santiago-Pacífico,Michoacán,1993.8,28.981,1993.5,25.344,1996.96,7.986,32
