#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
1,"Endhó, Hgo.                                                                                                                                           ","Endhó, Hgo.                                       ",Aguas del Valle de México,Hidalgo,2020,208.65,2018,182.9,2015.45,151.76,83
2,"San José Atlanga, Tlax.                                                                                                                               ","Atlanga,Tlax.                                     ",Balsas,Tlaxcala,2486.87,47.97,2486.4,42.63,2484.83,37.2,87
3,"Santa Rosa, Zac.                                                                                                                                      ","Santa Rosa, Zac.                                  ",Cuencas Centrales del Norte,Zacatecas,2249.64,14.041,2248.64,10.476,2105.39,6.418,61
4,"Nezahualcóyotl, Chis.                                                                                                                                 ","Malpaso, Chis.                                    ",Frontera Sur,Chiapas,188,14056.3,182.5,9317.39,182.01,9170.27,98
5,"Ángel Albino Corzo, Chis.                                                                                                                             ","Peñitas, Chis.                                    ",Frontera Sur,Chiapas,95.5,578.63,87.4,215.041,86.91,883,411
6,"Presidente Alemán, Oax.                                                                                                                               ","Temascal, Oax.                                    ",Golfo Centro,Oaxaca,68.5,9105.54,66.5,8119.09,54.5,3435,42
7,"República Española, Tamps.                                                                                                                            ","Real Viejo o El Sombrero, Tamps.                  ",Golfo Norte,Tamaulipas,89.43,105.99,83,54.78,82.31,48.307,88
8,"Infiernillo, Mich.                                                                                                                                    ","Infiernillo, Mich.                                ",Balsas,Guerrero,183.2,15194.8,169,9367.77,165.48,8126.54,87
9,"Lázaro Cárdenas, Dgo.                                                                                                                                 ","El Palmito, Dgo.                                  ",Cuencas Centrales del Norte,Durango,1632,4278.54,1622.46,2957.61,1617.34,2574.05,87
10,"Manuel Moreno Torres, Chis.                                                                                                                           ","Chicoasén, Chis.                                  ",Frontera Sur,Chiapas,395,1318.6,392.5,205.98,391.76,311.63,151
11,"Miguel de la Madrid Hurtado, Oax.                                                                                                                     ","Cerro de Oro, Oax.                                ",Golfo Centro,Oaxaca,70.01,3547.16,64.86,2599.51,63.15,1894.66,73
12,"Estudiante Ramiro Caballero Dorantes, Tamps.                                                                                                          ","Las Ánimas, Tamps.                                ",Golfo Norte,Tamaulipas,52.55,654.37,51.7,563.443,50.34,448.191,80
13,"San Ildefonso, Qro.                                                                                                                                   ","El Tepozán, Qro.                                  ",Golfo Norte,Querétaro,2242.5,58.026,2239,47.812,2216.5,8.975,19
14,"Doctor Belisario Domínguez, Chis.                                                                                                                     ","La Angostura, Chis.                               ",Frontera Sur,Chiapas,539.5,19736.4,533,13169.6,528.96,10837.4,82
15,"Solís, Gto.                                                                                                                                           ","Solis, Gto.                                       ",Lerma-Santiago-Pacífico,Guanajuato,1898.7,1214.14,1892.54,800,1890.54,675.313,84
